index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
1525,I am a developer by profession,Employed full-time,Canada,11 - 17 years,School;Online Forum;Online Courses or Certification,13,Go;HTML/CSS;JavaScript;Ruby;SQL,25-34 years old,Man
1526,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Peru,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Colleague",,Assembly;C;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PHP;Python;Ruby;SQL;Swift,25-34 years old,Man
1527,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member",30,Bash/Shell;C#;Delphi;HTML/CSS;Java;JavaScript;Matlab;Node.js;Perl;PHP;PowerShell;Python;SQL;VBA,35-44 years old,Man
1528,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Belgium,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",14,HTML/CSS;JavaScript;Node.js;PHP;SQL,35-44 years old,Man
1529,I am a developer by profession,Employed full-time,India,11 - 17 years,School,8,C;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL,18-24 years old,Man
1530,I am a student who is learning to code,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",2,Dart;HTML/CSS;JavaScript;Node.js;Python;SQL,Under 18 years old,Man
1531,I am a developer by profession,Employed full-time,Spain,11 - 17 years,School;Friend or family member,15,HTML/CSS;Java;JavaScript;Node.js;TypeScript,25-34 years old,Man
1532,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague",30,Bash/Shell;HTML/CSS;JavaScript;Python;Rust;TypeScript,45-54 years old,Man
1533,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification",10,Bash/Shell;Clojure;Python;SQL,25-34 years old,Man
1534,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",34,C#;HTML/CSS;SQL,65 years or older,Man
1535,I am a developer by profession,"Not employed, but looking for work",India,11 - 17 years,School,12,Bash/Shell;C++;Python,25-34 years old,Woman
1536,I am a student who is learning to code,I prefer not to say,Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,C#;C++;HTML/CSS;JavaScript;Node.js;TypeScript,Under 18 years old,Man
1537,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,School,8,Bash/Shell;C;C#;Dart;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,25-34 years old,Man
1538,I am a developer by profession,Employed full-time,India,18 - 24 years,School,9,C;Java;Kotlin,25-34 years old,Man
1539,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Colleague,18,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,35-44 years old,Man
1540,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):",42,Swift,45-54 years old,Man
1541,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,5 - 10 years,School;Other (please specify):,26,Bash/Shell;JavaScript;Node.js,35-44 years old,Man
1542,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Older than 64 years,Other (please specify):,More than 50 years,LISP,65 years or older,Man
1543,I am a student who is learning to code,"Student, part-time",Guatemala,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",3,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;VBA,18-24 years old,Man
1544,I am a developer by profession,Employed full-time,Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",9,C#;C++;HTML/CSS;Matlab;SQL,25-34 years old,Man
1545,I am a student who is learning to code,"Student, full-time",Turkey,11 - 17 years,School,,C;C#;HTML/CSS;Java;Node.js;SQL,25-34 years old,Man
1546,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,C;C#;Groovy;HTML/CSS;Java;Kotlin;Python;SQL,Under 18 years old,Man
1547,I am a student who is learning to code,"Student, full-time",Israel,25 - 34 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague",Less than 1 year,C,25-34 years old,Man
1548,I am a student who is learning to code,"Not employed, but looking for work",India,Younger than 5 years,Coding Bootcamp;Online Courses or Certification,3,Python,18-24 years old,Man
1549,I am a developer by profession,Employed full-time,Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):;Colleague",18,HTML/CSS;JavaScript;Node.js;PHP;SQL,25-34 years old,Man
1550,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Turkey,18 - 24 years,School,14,HTML/CSS;JavaScript;Python;SQL;TypeScript,25-34 years old,Man
1551,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",4,C;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,18-24 years old,Man
1552,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,School,10,Bash/Shell;Java;SQL,25-34 years old,Man
1553,I am a developer by profession,Employed full-time,Serbia,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague",18,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,35-44 years old,Man
1554,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Japan,25 - 34 years,School,11,Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man;Woman
1555,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):",10,Delphi;HTML/CSS;JavaScript;PHP;SQL;TypeScript,25-34 years old,Man
1556,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Hungary,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",12,HTML/CSS;JavaScript;Node.js;PHP;Ruby;TypeScript,25-34 years old,Man
1557,I am a student who is learning to code,"Student, full-time",Bahrain,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",3,HTML/CSS;Java;SQL,18-24 years old,Man
1558,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",12,C#;HTML/CSS;JavaScript;SQL,18-24 years old,Man
1559,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,School,16,C;C#;Go;Objective-C;Swift,25-34 years old,Man
1560,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Other (please specify):,25,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;Perl;PHP;Python;SQL;TypeScript,35-44 years old,Woman
1561,I am a developer by profession,Employed full-time,India,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum",7,Assembly;C;C++;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;SQL,18-24 years old,Man
1562,I am a developer by profession,Employed full-time,Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",10,C#;HTML/CSS;Node.js;PowerShell;TypeScript,25-34 years old,Man
1563,None of these,,United States of America,5 - 10 years,,,Assembly;Bash/Shell;HTML/CSS;Java;JavaScript;Python,Under 18 years old,Man
1564,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Poland,11 - 17 years,Online Courses or Certification;Other (please specify):,22,JavaScript;Node.js;Python;SQL;TypeScript,35-44 years old,Man
1565,I am a developer by profession,Employed full-time,India,18 - 24 years,School,16,Java;Python;SQL,25-34 years old,Man
1566,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,15,Bash/Shell;C#;Crystal;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,35-44 years old,Man
1567,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Brazil,11 - 17 years,School;Colleague,10,C#;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PowerShell;SQL;TypeScript,18-24 years old,Man
1568,I am a developer by profession,Employed full-time,Ethiopia,18 - 24 years,Online Forum;Friend or family member;Other (please specify):,15,C#;C++;HTML/CSS;JavaScript;TypeScript,25-34 years old,Man
1569,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Other (please specify):,30,Java;SQL,45-54 years old,Man
1570,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,School;Other (please specify):,30,C;Perl;Python;Swift,45-54 years old,Man
1571,I am a developer by profession,Employed full-time,Spain,11 - 17 years,School,9,Java;Kotlin,25-34 years old,Man
1572,I am a developer by profession,Employed full-time,France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,18-24 years old,Man
1573,I am a developer by profession,Employed full-time,Brazil,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",10,C#;HTML/CSS;Java;JavaScript;Node.js;SQL,25-34 years old,Woman
1574,I am a student who is learning to code,"Student, full-time",Bangladesh,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",2,C#;C++;JavaScript;Node.js;PHP;Python;TypeScript,18-24 years old,Man
1575,I code primarily as a hobby,"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",,C++;JavaScript;Node.js;Python,18-24 years old,Man
1576,I code primarily as a hobby,Employed full-time,Sweden,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",6,,25-34 years old,Man
1577,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,25 - 34 years,Other (please specify):,8,Java;Python,25-34 years old,Man
1578,I am a developer by profession,Employed full-time,Senegal,18 - 24 years,Colleague,,Bash/Shell;Crystal;Kotlin;Python;Ruby;Swift;TypeScript,25-34 years old,Man
1579,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Republic of Tanzania,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",9,C#;Java,18-24 years old,Man
1580,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Sri Lanka,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague",5,Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript,18-24 years old,Man
1581,I am a developer by profession,Employed full-time,South Africa,18 - 24 years,Other (please specify):,6,JavaScript;TypeScript,25-34 years old,Man
1582,I code primarily as a hobby,"Not employed, and not looking for work",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",2,C;HTML/CSS;JavaScript;Python,Under 18 years old,Man
1583,I am a student who is learning to code,"Student, full-time",Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",4,Dart;HTML/CSS;JavaScript;Node.js;TypeScript,Prefer not to say,Man
1584,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Other (please specify):;Colleague",20,,45-54 years old,Man
1585,I am a developer by profession,Employed full-time,Ukraine,5 - 10 years,Friend or family member;Colleague,,PHP,25-34 years old,Man
1586,I am a developer by profession,Employed full-time,Canada,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other (please specify):;Colleague",14,HTML/CSS;Kotlin;Swift,25-34 years old,Man
1587,I am a developer by profession,Employed full-time,Switzerland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,Assembly;Bash/Shell;C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,18-24 years old,Man
1588,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",11,HTML/CSS;JavaScript;Scala;TypeScript,18-24 years old,Man
1589,I am a student who is learning to code,"Student, full-time",India,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",5,Bash/Shell;C++;Go,Under 18 years old,Man
1590,I am a developer by profession,I prefer not to say,Lebanon,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",6,Bash/Shell;Node.js;PHP;SQL,18-24 years old,Man
1591,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,Friend or family member;Other (please specify):;Colleague,35,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,55-64 years old,Man
